"Quantity", "Refs", "Description", "Supplier-PN", "Manu-PN"
5, R1 R2 R8 R9 R11, RES 10.0K OHM 1/4W 1% AXIAL, 10.0KXBK-ND, MFR-25FBF52-10K
3, R3 R16 R17, RES 1.00K OHM 1/4W 1% AXIAL, 1.00KXBK-ND, MFR-25FBF52-1K
4, R4 R5 R6 R7, RES 100 OHM 1/4W 1% AXIAL, 100XBK-ND, MFR-25FBF52-100R
4, R12 R13 R14 R15, RES MO 2W .47 OHM 5% AXIAL, RSMF2JTR470CT-ND, RSMF2JTR470
6, C1 C2 C3 C4 C16 C17, CAP CER 220PF 100V 5% RADIAL, 399-4163-ND, C315C221J1G5TA
4, C7 C8 C18 C19, CAP FILM 1UF 10% 63VDC RADIAL, BC1622-ND, BFC237011105
4, C5 C6, CAP ALUM 1500UF 20% 50V RADIAL, 493-6907-ND, UHW1H152MHD6
5, C9 C10 C13 C20 C21, CAP ALUM 100UF 20% 63V RADIAL, 493-1936-ND, UPW1J101MPD
2, C11 C12, CAP ALUM 470UF 20% 63V RADIAL, 493-1948-ND, UPW1J471MHD
2, C14 C15, CAP FILM 3900PF 10% 400VDC RAD, BC1673-ND, BFC237051392
4, D1 D2 D3 D4, DIODE GEN PURP 200V 8A TO220AC, MUR820GOS-ND, MUR820G
1, D5, DIODE ZENER 12V 500MW DO35, BZX55C12CT-ND, BZX55C12-TR
2, D6 D7, DIODE SCHOTTKY 40V 1A DO41,1N5819FSCT-ND, 1N5819
2, CR1 CR2, Current Regulator Diodes 2.2mA Curr Reg, 610-1N5306, 1N5306
2, CR3 CR4, Current Regulator Diodes 4.7mA Curr Reg, 610-1N5314,1N5314
1, LED, LED BLUE DIFF 3MM ROUND T/H, 751-1092-ND, TLHB4400
6, Q1 Q3 Q4 Q9 Q10 Q12, TRANS NPN 65V 0.1A TO-92, BC546BTACT-ND, BC546BTA
6, Q2 Q5 Q6 Q7 Q8 Q11, TRANS PNP 65V 0.1A TO-92, BC556BTACT-ND, BC556BTA
2, Q13 Q14, MOSFET N-CH 55V 17A TO-220AB, IRFZ24NPBF-ND, IRFZ24NPBF
2, Q15 Q16, MOSFET P-CH 55V 19A TO-220AB, IRF9Z34NPBF-ND, IRF9Z34NPBF
2, -, CONN TERM BLOCK 3POS 5.08MM PCB, 277-1248-ND, 1729131
1, -, CONN TERM BLOCK 2POS 5.08MM PCB, 277-1249-ND, 1729144
1, -, XFRMR TOROIDAL 25VA CHAS MOUNT, 1295-1088-ND, 62063
1, -, MOD PWR INLET COMPACT FILTER 10A, 817-1915-ND, FN281-10-06
4, -, BOARD LEVEL HEATSINK 1-inch TO-220, HS404-ND, 529702B02500G
4, -, MOUNTING KIT TO-220, HS417-ND, 4880G
